industry,page_type,position,component_type,section_archetype,section_variant,priority,content_direction,template_path
fintech,homepage,10,page_section,FOOTER,compliance,required,"Regulatory disclaimers, licensing info, support, terms, privacy",
fintech,kyc,1,page_section,HERO,verification-hero,required,Why verification is required,
fintech,kyc,2,page_section,KYC-FORM,document-upload,required,ID / proof-of-address upload flow,
fintech,kyc,3,page_section,STEP-INDICATOR,progress,required,Multi-step verification progress,
fintech,kyc,4,page_section,TRUST-BADGES,security-row,required,Data handling and encryption assurance,
fintech,kyc,5,page_section,FOOTER,legal,required,Regulatory and privacy links,
fintech,legal,1,page_section,LEGAL-HEADER,document-title,required,Document title and effective date,
fintech,legal,2,page_section,TABLE-OF-CONTENTS,sticky,recommended,Anchored section navigation,
fintech,legal,3,page_section,LEGAL-BODY,sections,required,Numbered sections with plain-language summaries,
fintech,legal,4,page_section,CONTACT-BLOCK,support,required,Contact information for questions,
fintech,legal,5,page_section,FOOTER,legal,required,Related legal documents,
fintech,pricing,1,page_section,HERO,value-prop,required,Clear value proposition and starting price,
fintech,pricing,2,page_section,PRICING-TABLE,tier-cards,required,3-tier plan comparison with feature checklist,
fintech,pricing,3,page_section,TRUST-BADGES,security-row,required,"Security, compliance, and guarantee badges",
fintech,pricing,4,page_section,FAQ-ACCORDION,collapsible,recommended,Pricing FAQ to overcome objections,
fintech,pricing,5,page_section,CTA-STRIP,bottom-sticky,required,Final conversion CTA after comparison,
fintech,pricing,6,page_section,FOOTER,compliance,required,Regulatory disclaimers and support links,
fintech,signup,1,page_section,HERO,signup-hero,required,Benefit-focused headline with social proof,
fintech,signup,2,page_section,SIGNUP-FORM,email-password,required,Email / password / consent form,
fintech,signup,3,page_section,TRUST-BADGES,security-row,required,Encryption and compliance signals,
fintech,signup,4,page_section,SOCIAL-PROOF,testimonial-row,recommended,Customer quote or user count,
fintech,signup,5,page_section,FOOTER,legal,required,Terms and privacy links,
health-wellness,about,1,page_section,HERO,page-header,required,Company name + tagline,
health-wellness,about,2,page_section,ABOUT,editorial-split,required,Company story,
health-wellness,about,3,page_section,TEAM,grid,optional,Team members,
health-wellness,about,4,page_section,STATS,counter,recommended,Key metrics,
health-wellness,about,5,page_section,CTA,centered,required,Get started / contact,
health-wellness,blog-index,1,page_section,HERO,page-header,required,Blog title + optional category filter,
health-wellness,blog-index,2,page_section,BLOG-PREVIEW,grid,required,Blog post grid with featured post,
health-wellness,blog-index,3,page_section,NEWSLETTER,inline,optional,Subscribe for updates,
health-wellness,collection,1,page_section,HERO,page-header,required,Collection title + description + optional banner,
health-wellness,collection,2,page_section,PRODUCT-SHOWCASE,filtered-grid,required,Product grid with sort/filter,
health-wellness,collection,3,page_section,FEATURES,goal-navigator,recommended,Shop by goal/need filter,
health-wellness,collection,4,page_section,TRUST-BADGES,inline-strip,optional,Category-level certifications,
health-wellness,contact,1,page_section,HERO,page-header,required,Contact us + subtitle,
health-wellness,contact,2,page_section,CONTACT,split-form,required,Form + location/map/hours,
health-wellness,contact,3,page_section,FAQ,mini-accordion,optional,Common questions before contacting,
health-wellness,content-page,1,page_section,HERO,page-header,required,Page title + optional subtitle,
health-wellness,content-page,2,page_section,CONTENT,rich-text,required,HTML content body,
health-wellness,content-page,3,page_section,CTA,inline,optional,Related page or action CTA,
health-wellness,homepage,1,page_section,HERO,split-image,required,Wellness outcome imagery with clear CTA,
health-wellness,homepage,2,page_section,LOGO-BAR,static-grid,required,,
health-wellness,homepage,3,page_section,HOW-IT-WORKS,numbered-steps,required,How it works / protocol,
health-wellness,homepage,4,page_section,PRODUCT-SHOWCASE,hover-cards,required,Shop by goal/need,
health-wellness,homepage,5,page_section,STATS,counter,required,Clinical results / user outcomes,
health-wellness,homepage,6,page_section,TESTIMONIALS,carousel,required,Transformation stories,
health-wellness,homepage,7,page_section,TRUST-BADGES,horizontal-strip,required,"FDA, GMP, third-party tested",
health-wellness,homepage,8,page_section,COMPARISON,table,recommended,Ingredient transparency vs competitors,
health-wellness,homepage,9,page_section,FAQ,accordion,required,"Dosage, interactions, shipping",
health-wellness,homepage,10,page_section,NEWSLETTER,inline,recommended,Wellness tips + first order discount,
health-wellness,product-detail,1,page_section,PRODUCT-DETAIL,gallery-sidebar,required,Product + supplement facts overlay,
health-wellness,product-detail,2,page_section,PRODUCT-DETAIL,description-tabs,required,"Benefits, ingredients, dosage, research",
health-wellness,product-detail,3,page_section,TRUST-BADGES,inline-strip,required,"Third-party tested, GMP, FDA facility",
health-wellness,product-detail,4,page_section,PRODUCT-DETAIL,subscription-upsell,required,Subscribe & save 15%,
health-wellness,product-detail,5,page_section,FAQ,mini-accordion,recommended,Product-specific FAQ (3-5 questions),
health-wellness,product-detail,6,page_section,TESTIMONIALS,mini-reviews,required,Customer results reviews,
health-wellness,product-detail,7,page_section,PRODUCT-SHOWCASE,stack-builder,recommended,Stack with these supplements,
health-wellness,shared,0,cart_drawer,CART-DRAWER,slide-out,required,Side panel with upsell recommendations,
health-wellness,shared,0,footer,FOOTER,mega,required,Multi-column standard footer,
health-wellness,shared,0,navigation,NAV,sticky-transparent,required,Standard dropdown navigation,
home-lifestyle,about,1,page_section,HERO,page-header,required,Company name + tagline,
home-lifestyle,about,2,page_section,ABOUT,editorial-split,required,Company story,
home-lifestyle,about,3,page_section,TEAM,grid,optional,Team members,
home-lifestyle,about,4,page_section,STATS,counter,recommended,Key metrics,
home-lifestyle,about,5,page_section,CTA,centered,required,Get started / contact,
home-lifestyle,blog-index,1,page_section,HERO,page-header,required,Blog title + optional category filter,
home-lifestyle,blog-index,2,page_section,BLOG-PREVIEW,grid,required,Blog post grid with featured post,
home-lifestyle,blog-index,3,page_section,NEWSLETTER,inline,optional,Subscribe for updates,
home-lifestyle,collection,1,page_section,HERO,page-header,required,Collection title + description + optional banner,
home-lifestyle,collection,2,page_section,PRODUCT-SHOWCASE,filtered-grid,required,Product grid with sort/filter,
home-lifestyle,collection,3,page_section,GALLERY,room-inspiration,recommended,Styled room inspiration banner,
home-lifestyle,contact,1,page_section,HERO,page-header,required,Contact us + subtitle,
home-lifestyle,contact,2,page_section,CONTACT,split-form,required,Form + location/map/hours,
home-lifestyle,contact,3,page_section,FAQ,mini-accordion,optional,Common questions before contacting,
home-lifestyle,content-page,1,page_section,HERO,page-header,required,Page title + optional subtitle,
home-lifestyle,content-page,2,page_section,CONTENT,rich-text,required,HTML content body,
home-lifestyle,content-page,3,page_section,CTA,inline,optional,Related page or action CTA,
home-lifestyle,homepage,1,page_section,HERO,split-image,required,Styled room setting with hero product,
home-lifestyle,homepage,2,page_section,PRODUCT-SHOWCASE,hover-cards,required,Shop by room/category,
home-lifestyle,homepage,3,page_section,GALLERY,lookbook-grid,required,Interior inspiration / styled spaces,
home-lifestyle,homepage,4,page_section,PRODUCT-SHOWCASE,carousel,recommended,Trending / bestsellers,
home-lifestyle,homepage,5,page_section,ABOUT,editorial-split,recommended,"Design philosophy, materials sourcing",
home-lifestyle,homepage,6,page_section,TESTIMONIALS,carousel,recommended,Customer home transformations,
home-lifestyle,homepage,7,page_section,CTA,split-image,optional,Design consultation CTA,
home-lifestyle,homepage,8,page_section,HOW-IT-WORKS,numbered-steps,optional,Design service / consultation flow,
home-lifestyle,homepage,9,page_section,NEWSLETTER,inline,recommended,Design tips + sale notifications,
home-lifestyle,homepage,10,section,FAQ,accordion,optional,"Materials, dimensions, delivery, assembly, care instructions. Address returns and exchanges.",
home-lifestyle,product-detail,1,page_section,PRODUCT-DETAIL,gallery-sidebar,required,Product + styled room context shots,
home-lifestyle,product-detail,2,page_section,PRODUCT-DETAIL,description-tabs,required,"Description, dimensions, materials, care",
home-lifestyle,product-detail,3,page_section,FEATURES,icon-row,required,"Material, dimensions, weight specs",
home-lifestyle,product-detail,4,page_section,GALLERY,in-context,recommended,Room inspiration with product,
home-lifestyle,product-detail,5,page_section,PRODUCT-SHOWCASE,complete-the-look,required,Style this room cross-sell,
home-lifestyle,product-detail,6,page_section,TESTIMONIALS,mini-reviews,recommended,Customer home photos,
home-lifestyle,shared,0,cart_drawer,CART-DRAWER,slide-out,required,Side panel with upsell recommendations,
home-lifestyle,shared,0,footer,FOOTER,mega,required,Multi-column standard footer,
home-lifestyle,shared,0,navigation,NAV,sticky-transparent,required,Standard dropdown navigation,
hotels-hospitality,about,1,page_section,HERO,page-header,required,Company name + tagline,
hotels-hospitality,about,2,page_section,ABOUT,editorial-split,required,Company story,
hotels-hospitality,about,3,page_section,TEAM,grid,optional,Team members,
hotels-hospitality,about,4,page_section,STATS,counter,recommended,Key metrics,
hotels-hospitality,about,5,page_section,CTA,centered,required,Get started / contact,
hotels-hospitality,blog-index,1,page_section,HERO,page-header,required,Blog title + optional category filter,
hotels-hospitality,blog-index,2,page_section,BLOG-PREVIEW,grid,required,Blog post grid with featured post,
hotels-hospitality,blog-index,3,page_section,NEWSLETTER,inline,optional,Subscribe for updates,
hotels-hospitality,collection,1,page_section,HERO,page-header,required,Collection title + description + optional banner,
hotels-hospitality,collection,2,page_section,PRODUCT-SHOWCASE,filtered-grid,required,Product grid with sort/filter,
hotels-hospitality,collection,3,page_section,PRODUCT-SHOWCASE,featured-3,optional,Featured products from collection,
hotels-hospitality,contact,1,page_section,HERO,page-header,required,Contact us + subtitle,
hotels-hospitality,contact,2,page_section,CONTACT,split-form,required,Form + location/map/hours,
hotels-hospitality,contact,3,page_section,FAQ,mini-accordion,optional,Common questions before contacting,
hotels-hospitality,content-page,1,page_section,HERO,page-header,required,Page title + optional subtitle,
hotels-hospitality,content-page,2,page_section,CONTENT,rich-text,required,HTML content body,
hotels-hospitality,content-page,3,page_section,CTA,inline,optional,Related page or action CTA,
hotels-hospitality,homepage,1,page_section,HERO,video-background,required,Property showcase video,
hotels-hospitality,homepage,2,page_section,PRODUCT-SHOWCASE,hover-cards,required,Room categories / experiences,
hotels-hospitality,homepage,3,page_section,FEATURES,icon-grid,required,Amenities and services,
hotels-hospitality,homepage,4,page_section,GALLERY,masonry,required,Room types + amenities photography,
hotels-hospitality,homepage,5,page_section,ABOUT,editorial-split,recommended,"Property story, location highlights",
hotels-hospitality,homepage,6,page_section,TESTIMONIALS,carousel,required,Guest reviews,
hotels-hospitality,homepage,7,page_section,STATS,counter,recommended,"Guest satisfaction, awards, years",
hotels-hospitality,homepage,8,page_section,CTA,centered,required,Book your stay,
hotels-hospitality,homepage,9,page_section,FAQ,accordion,required,,
hotels-hospitality,homepage,10,page_section,NEWSLETTER,inline,required,,
hotels-hospitality,product-detail,1,page_section,PRODUCT-DETAIL,gallery-sidebar,required,"Image gallery left, buy box right",
hotels-hospitality,product-detail,2,page_section,PRODUCT-DETAIL,description-tabs,required,"Description, specs, reviews in tabs",
hotels-hospitality,product-detail,3,page_section,PRODUCT-SHOWCASE,related-products,required,4 related products carousel,
hotels-hospitality,shared,0,cart_drawer,CART-DRAWER,slide-out,required,Side panel with upsell recommendations,
hotels-hospitality,shared,0,footer,FOOTER,mega,required,Multi-column standard footer,
hotels-hospitality,shared,0,navigation,NAV,sticky-transparent,required,Standard dropdown navigation,
investment-holding,account,1,page_section,DASHBOARD-HEADER,welcome,required,Greeting and account status,
investment-holding,account,2,page_section,ACCOUNT-NAV,sidebar,required,"Settings, billing, security links",
investment-holding,account,3,page_section,SUMMARY-CARDS,metrics,required,Balance / orders / portfolio summary,
investment-holding,account,4,page_section,ACTIVITY-FEED,timeline,recommended,Recent transactions or updates,
investment-holding,account,5,page_section,FOOTER,support,required,Help and logout links,
investment-holding,checkout,1,page_section,CHECKOUT-HEADER,secure-lock,required,Secure checkout indicator and order summary,
investment-holding,checkout,2,page_section,PAYMENT-FORM,card-fields,required,Card / wallet payment form,
investment-holding,checkout,3,page_section,ORDER-SUMMARY,sidebar,required,Itemised order summary with totals,
investment-holding,checkout,4,page_section,TRUST-BADGES,pci-row,required,PCI / secure payment badges,
investment-holding,checkout,5,page_section,FOOTER,support,required,Support and refund policy links,
investment-holding,kyc,1,page_section,HERO,verification-hero,required,Why verification is required,
investment-holding,kyc,2,page_section,KYC-FORM,document-upload,required,ID / proof-of-address upload flow,
investment-holding,kyc,3,page_section,STEP-INDICATOR,progress,required,Multi-step verification progress,
investment-holding,kyc,4,page_section,TRUST-BADGES,security-row,required,Data handling and encryption assurance,
investment-holding,kyc,5,page_section,FOOTER,legal,required,Regulatory and privacy links,
investment-holding,legal,1,page_section,LEGAL-HEADER,document-title,required,Document title and effective date,
investment-holding,legal,2,page_section,TABLE-OF-CONTENTS,sticky,recommended,Anchored section navigation,
investment-holding,legal,3,page_section,LEGAL-BODY,sections,required,Numbered sections with plain-language summaries,
investment-holding,legal,4,page_section,CONTACT-BLOCK,support,required,Contact information for questions,
investment-holding,legal,5,page_section,FOOTER,legal,required,Related legal documents,
investment-holding,pricing,1,page_section,HERO,value-prop,required,Clear value proposition and starting price,
investment-holding,pricing,2,page_section,PRICING-TABLE,tier-cards,required,3-tier plan comparison with feature checklist,
investment-holding,pricing,3,page_section,TRUST-BADGES,security-row,required,"Security, compliance, and guarantee badges",
investment-holding,pricing,4,page_section,FAQ-ACCORDION,collapsible,recommended,Pricing FAQ to overcome objections,
investment-holding,pricing,5,page_section,CTA-STRIP,bottom-sticky,required,Final conversion CTA after comparison,
investment-holding,pricing,6,page_section,FOOTER,compliance,required,Regulatory disclaimers and support links,
investment-holding,signup,1,page_section,HERO,signup-hero,required,Benefit-focused headline with social proof,
investment-holding,signup,2,page_section,SIGNUP-FORM,email-password,required,Email / password / consent form,
investment-holding,signup,3,page_section,TRUST-BADGES,security-row,required,Encryption and compliance signals,
investment-holding,signup,4,page_section,SOCIAL-PROOF,testimonial-row,recommended,Customer quote or user count,
investment-holding,signup,5,page_section,FOOTER,legal,required,Terms and privacy links,
jewelry-watches,about,1,page_section,HERO,page-header,required,Company name + tagline,
jewelry-watches,about,2,page_section,ABOUT,editorial-split,required,Company story,
jewelry-watches,about,3,page_section,TEAM,grid,optional,Team members,
jewelry-watches,about,4,page_section,STATS,counter,recommended,Key metrics,
jewelry-watches,about,5,page_section,CTA,centered,required,Get started / contact,
jewelry-watches,blog-index,1,page_section,HERO,page-header,required,Blog title + optional category filter,
jewelry-watches,blog-index,2,page_section,BLOG-PREVIEW,grid,required,Blog post grid with featured post,
jewelry-watches,blog-index,3,page_section,NEWSLETTER,inline,optional,Subscribe for updates,
jewelry-watches,collection,1,page_section,HERO,page-header,required,Collection title + description + optional banner,
jewelry-watches,collection,2,page_section,PRODUCT-SHOWCASE,filtered-grid,required,Product grid with sort/filter,
jewelry-watches,collection,3,page_section,PRODUCT-SHOWCASE,featured-3,optional,Featured products from collection,
jewelry-watches,contact,1,page_section,HERO,page-header,required,Contact us + subtitle,
jewelry-watches,contact,2,page_section,CONTACT,split-form,required,Form + location/map/hours,
jewelry-watches,contact,3,page_section,FAQ,mini-accordion,optional,Common questions before contacting,
jewelry-watches,content-page,1,page_section,HERO,page-header,required,Page title + optional subtitle,
jewelry-watches,content-page,2,page_section,CONTENT,rich-text,required,HTML content body,
jewelry-watches,content-page,3,page_section,CTA,inline,optional,Related page or action CTA,
jewelry-watches,homepage,1,page_section,HERO,minimal-text,required,Luxe typography over dark product shot,
jewelry-watches,homepage,2,page_section,PRODUCT-SHOWCASE,hover-cards,required,Collections by category,
jewelry-watches,homepage,3,page_section,ABOUT,editorial-split,required,Craftsmanship story,
jewelry-watches,homepage,4,page_section,VIDEO,autoplay-hero,recommended,Making-of / detail shots,
jewelry-watches,homepage,5,page_section,LOGO-BAR,static-grid,required,,
jewelry-watches,homepage,6,page_section,TESTIMONIALS,carousel,recommended,Customer milestone stories,
jewelry-watches,homepage,7,page_section,GALLERY,masonry,required,Lifestyle + detail photography,
jewelry-watches,homepage,8,page_section,CTA,centered,optional,Book consultation / custom design,
jewelry-watches,homepage,9,page_section,NEWSLETTER,inline,recommended,First access + care guide,
jewelry-watches,product-detail,1,page_section,PRODUCT-DETAIL,gallery-sidebar,required,High-res detail shots + lifestyle,
jewelry-watches,product-detail,2,page_section,PRODUCT-DETAIL,description-tabs,required,"Materials, dimensions, care, certificate",
jewelry-watches,product-detail,3,page_section,TRUST-BADGES,inline-strip,required,"Authenticity, warranty, free shipping",
jewelry-watches,product-detail,4,page_section,VIDEO,inline-player,recommended,360° view or craftsmanship detail,
jewelry-watches,product-detail,5,page_section,PRODUCT-SHOWCASE,related-products,required,From the same collection,
jewelry-watches,shared,0,cart_drawer,CART-DRAWER,slide-out,required,Side panel with upsell recommendations,
jewelry-watches,shared,0,footer,FOOTER,mega,required,Multi-column standard footer,
jewelry-watches,shared,0,navigation,NAV,sticky-transparent,required,Elegant minimal with centered logo,
kids-baby,about,1,page_section,HERO,page-header,required,Company name + tagline,
kids-baby,about,2,page_section,ABOUT,editorial-split,required,Company story,
kids-baby,about,3,page_section,TEAM,grid,optional,Team members,
kids-baby,about,4,page_section,STATS,counter,recommended,Key metrics,
kids-baby,about,5,page_section,CTA,centered,required,Get started / contact,
kids-baby,blog-index,1,page_section,HERO,page-header,required,Blog title + optional category filter,
kids-baby,blog-index,2,page_section,BLOG-PREVIEW,grid,required,Blog post grid with featured post,
kids-baby,blog-index,3,page_section,NEWSLETTER,inline,optional,Subscribe for updates,
kids-baby,collection,1,page_section,HERO,page-header,required,Collection title + description + optional banner,
kids-baby,collection,2,page_section,PRODUCT-SHOWCASE,filtered-grid,required,Product grid with sort/filter,
kids-baby,collection,3,page_section,PRODUCT-SHOWCASE,featured-3,optional,Featured products from collection,
kids-baby,contact,1,page_section,HERO,page-header,required,Contact us + subtitle,
kids-baby,contact,2,page_section,CONTACT,split-form,required,Form + location/map/hours,
kids-baby,contact,3,page_section,FAQ,mini-accordion,optional,Common questions before contacting,
kids-baby,content-page,1,page_section,HERO,page-header,required,Page title + optional subtitle,
kids-baby,content-page,2,page_section,CONTENT,rich-text,required,HTML content body,
kids-baby,content-page,3,page_section,CTA,inline,optional,Related page or action CTA,
kids-baby,homepage,1,page_section,HERO,split-image,required,Playful imagery with warm tones,
kids-baby,homepage,2,page_section,PRODUCT-SHOWCASE,hover-cards,required,Shop by age / category,
kids-baby,homepage,3,page_section,TRUST-BADGES,horizontal-strip,required,"Safety certifications, non-toxic, organic",
kids-baby,homepage,4,page_section,FEATURES,icon-grid,required,"Material safety, durability, design",
kids-baby,homepage,5,page_section,TESTIMONIALS,wall,required,Parent reviews with kid photos,
kids-baby,homepage,6,page_section,CTA,centered,recommended,Shop bestsellers / gift registry,
kids-baby,homepage,7,page_section,ABOUT,editorial-split,required,,
kids-baby,homepage,8,page_section,FAQ,accordion,recommended,"Sizing, safety, returns",
kids-baby,homepage,9,page_section,NEWSLETTER,inline,recommended,Parenting tips + new arrivals,
kids-baby,product-detail,1,page_section,PRODUCT-DETAIL,gallery-sidebar,required,Product + child-safe demo shots,
kids-baby,product-detail,2,page_section,PRODUCT-DETAIL,description-tabs,required,"Description, safety info, age range, materials",
kids-baby,product-detail,3,page_section,TRUST-BADGES,inline-strip,required,"Safety certs, non-toxic, age-appropriate",
kids-baby,product-detail,4,page_section,PRODUCT-SHOWCASE,bundle-builder,recommended,Gift set / bundle builder,
kids-baby,product-detail,5,page_section,TESTIMONIALS,mini-reviews,required,Parent reviews,
kids-baby,product-detail,6,page_section,PRODUCT-SHOWCASE,related-products,required,Also great for this age,
kids-baby,shared,0,cart_drawer,CART-DRAWER,slide-out,required,Side panel with upsell recommendations,
kids-baby,shared,0,footer,FOOTER,mega,required,Multi-column standard footer,
kids-baby,shared,0,navigation,NAV,sticky-transparent,required,Standard dropdown navigation,
luxury-premium,about,1,page_section,HERO,page-header,required,Company name + tagline,
luxury-premium,about,2,page_section,ABOUT,editorial-split,required,Company story,
luxury-premium,about,3,page_section,TEAM,grid,optional,Team members,
luxury-premium,about,4,page_section,STATS,counter,recommended,Key metrics,
luxury-premium,about,5,page_section,CTA,centered,required,Get started / contact,
luxury-premium,blog-index,1,page_section,HERO,page-header,required,Blog title + optional category filter,
luxury-premium,blog-index,2,page_section,BLOG-PREVIEW,grid,required,Blog post grid with featured post,
luxury-premium,blog-index,3,page_section,NEWSLETTER,inline,optional,Subscribe for updates,
luxury-premium,collection,1,page_section,HERO,page-header,required,Collection title + description + optional banner,
luxury-premium,collection,2,page_section,PRODUCT-SHOWCASE,filtered-grid,required,Product grid with sort/filter,
luxury-premium,collection,3,page_section,PRODUCT-SHOWCASE,featured-3,optional,Featured products from collection,
luxury-premium,contact,1,page_section,HERO,page-header,required,Contact us + subtitle,
luxury-premium,contact,2,page_section,CONTACT,split-form,required,Form + location/map/hours,
luxury-premium,contact,3,page_section,FAQ,mini-accordion,optional,Common questions before contacting,
luxury-premium,content-page,1,page_section,HERO,page-header,required,Page title + optional subtitle,
luxury-premium,content-page,2,page_section,CONTENT,rich-text,required,HTML content body,
luxury-premium,content-page,3,page_section,CTA,inline,optional,Related page or action CTA,
luxury-premium,homepage,1,page_section,HERO,minimal-text,required,Cinematic product on dark background,
luxury-premium,homepage,2,page_section,PRODUCT-SHOWCASE,hover-cards,required,Curated collections,
luxury-premium,homepage,3,page_section,ABOUT,editorial-split,required,"Heritage, artistry, provenance",
luxury-premium,homepage,4,page_section,VIDEO,autoplay-hero,required,Brand film / craftsmanship,
luxury-premium,homepage,5,page_section,GALLERY,masonry,required,Lifestyle + detail photography,
luxury-premium,homepage,6,page_section,TESTIMONIALS,single-featured,recommended,VIP client story,
luxury-premium,homepage,7,page_section,CTA,centered,optional,Book private consultation,
luxury-premium,homepage,8,section,NEWSLETTER,inline,recommended,"Position as exclusive access: early collections, private events, VIP offers. Never say ""newsletter"".",
luxury-premium,product-detail,1,page_section,PRODUCT-DETAIL,gallery-sidebar,required,Art-directed product + detail macro shots,
luxury-premium,product-detail,2,page_section,PRODUCT-DETAIL,description-tabs,required,"Provenance, materials, dimensions, care",
luxury-premium,product-detail,3,page_section,VIDEO,inline-player,recommended,Craftsmanship / making-of,
luxury-premium,product-detail,4,page_section,TRUST-BADGES,inline-strip,required,"Authenticity certificate, concierge, lifetime care",
luxury-premium,product-detail,5,page_section,PRODUCT-SHOWCASE,curated-pairing,recommended,Pairs beautifully with...,
luxury-premium,shared,0,cart_drawer,CART-DRAWER,slide-out,required,Side panel with upsell recommendations,
luxury-premium,shared,0,footer,FOOTER,minimal,required,Understated with essential links only,
luxury-premium,shared,0,navigation,NAV,sticky-transparent,required,Ultra-minimal centered logo split,
marketplace,account,1,page_section,DASHBOARD-HEADER,welcome,required,Greeting and account status,
marketplace,account,2,page_section,ACCOUNT-NAV,sidebar,required,"Settings, billing, security links",
marketplace,account,3,page_section,SUMMARY-CARDS,metrics,required,Balance / orders / portfolio summary,
marketplace,account,4,page_section,ACTIVITY-FEED,timeline,recommended,Recent transactions or updates,
marketplace,account,5,page_section,FOOTER,support,required,Help and logout links,
marketplace,checkout,1,page_section,CHECKOUT-HEADER,secure-lock,required,Secure checkout indicator and order summary,
marketplace,checkout,2,page_section,PAYMENT-FORM,card-fields,required,Card / wallet payment form,
marketplace,checkout,3,page_section,ORDER-SUMMARY,sidebar,required,Itemised order summary with totals,
marketplace,checkout,4,page_section,TRUST-BADGES,pci-row,required,PCI / secure payment badges,
marketplace,checkout,5,page_section,FOOTER,support,required,Support and refund policy links,
marketplace,kyc,1,page_section,HERO,verification-hero,required,Why verification is required,
marketplace,kyc,2,page_section,KYC-FORM,document-upload,required,ID / proof-of-address upload flow,
marketplace,kyc,3,page_section,STEP-INDICATOR,progress,required,Multi-step verification progress,
marketplace,kyc,4,page_section,TRUST-BADGES,security-row,required,Data handling and encryption assurance,
marketplace,kyc,5,page_section,FOOTER,legal,required,Regulatory and privacy links,
marketplace,legal,1,page_section,LEGAL-HEADER,document-title,required,Document title and effective date,
marketplace,legal,2,page_section,TABLE-OF-CONTENTS,sticky,recommended,Anchored section navigation,
marketplace,legal,3,page_section,LEGAL-BODY,sections,required,Numbered sections with plain-language summaries,
marketplace,legal,4,page_section,CONTACT-BLOCK,support,required,Contact information for questions,
marketplace,legal,5,page_section,FOOTER,legal,required,Related legal documents,
marketplace,pricing,1,page_section,HERO,value-prop,required,Clear value proposition and starting price,
marketplace,pricing,2,page_section,PRICING-TABLE,tier-cards,required,3-tier plan comparison with feature checklist,
marketplace,pricing,3,page_section,TRUST-BADGES,security-row,required,"Security, compliance, and guarantee badges",
marketplace,pricing,4,page_section,FAQ-ACCORDION,collapsible,recommended,Pricing FAQ to overcome objections,
marketplace,pricing,5,page_section,CTA-STRIP,bottom-sticky,required,Final conversion CTA after comparison,
marketplace,pricing,6,page_section,FOOTER,compliance,required,Regulatory disclaimers and support links,
marketplace,signup,1,page_section,HERO,signup-hero,required,Benefit-focused headline with social proof,
marketplace,signup,2,page_section,SIGNUP-FORM,email-password,required,Email / password / consent form,
marketplace,signup,3,page_section,TRUST-BADGES,security-row,required,Encryption and compliance signals,
marketplace,signup,4,page_section,SOCIAL-PROOF,testimonial-row,recommended,Customer quote or user count,
marketplace,signup,5,page_section,FOOTER,legal,required,Terms and privacy links,
medical-dental,about,1,page_section,HERO,page-header,required,Company name + tagline,
medical-dental,about,2,page_section,ABOUT,editorial-split,required,Company story,
medical-dental,about,3,page_section,TEAM,grid,optional,Team members,
medical-dental,about,4,page_section,STATS,counter,recommended,Key metrics,
medical-dental,about,5,page_section,CTA,centered,required,Get started / contact,
medical-dental,blog-index,1,page_section,HERO,page-header,required,Blog title + optional category filter,
medical-dental,blog-index,2,page_section,BLOG-PREVIEW,grid,required,Blog post grid with featured post,
medical-dental,blog-index,3,page_section,NEWSLETTER,inline,optional,Subscribe for updates,
medical-dental,collection,1,page_section,HERO,page-header,required,Collection title + description + optional banner,
medical-dental,collection,2,page_section,PRODUCT-SHOWCASE,filtered-grid,required,Product grid with sort/filter,
medical-dental,collection,3,page_section,PRODUCT-SHOWCASE,featured-3,optional,Featured products from collection,
medical-dental,contact,1,page_section,HERO,page-header,required,Contact us + subtitle,
medical-dental,contact,2,page_section,CONTACT,split-form,required,Form + location/map/hours,
medical-dental,contact,3,page_section,FAQ,mini-accordion,optional,Common questions before contacting,
medical-dental,content-page,1,page_section,HERO,page-header,required,Page title + optional subtitle,
medical-dental,content-page,2,page_section,CONTENT,rich-text,required,HTML content body,
medical-dental,content-page,3,page_section,CTA,inline,optional,Related page or action CTA,
medical-dental,homepage,1,page_section,HERO,split-image,required,Welcoming facility + team,
medical-dental,homepage,2,page_section,FEATURES,icon-grid,required,Services offered,
medical-dental,homepage,3,page_section,TEAM,grid,required,Doctors/practitioners with credentials,
medical-dental,homepage,4,page_section,TESTIMONIALS,carousel,required,Patient reviews,
medical-dental,homepage,5,page_section,TRUST-BADGES,horizontal-strip,required,"Board certifications, insurance accepted",
medical-dental,homepage,6,page_section,HOW-IT-WORKS,numbered-steps,recommended,New patient process,
medical-dental,homepage,7,page_section,ABOUT,editorial-split,recommended,"Practice philosophy, technology",
medical-dental,homepage,8,page_section,FAQ,accordion,required,"Insurance, procedures, aftercare",
medical-dental,homepage,9,page_section,CONTACT,split-form,required,Book appointment,
medical-dental,product-detail,1,page_section,PRODUCT-DETAIL,gallery-sidebar,required,"Image gallery left, buy box right",
medical-dental,product-detail,2,page_section,PRODUCT-DETAIL,description-tabs,required,"Description, specs, reviews in tabs",
medical-dental,product-detail,3,page_section,PRODUCT-SHOWCASE,related-products,required,4 related products carousel,
medical-dental,shared,0,cart_drawer,CART-DRAWER,slide-out,required,Side panel with upsell recommendations,
medical-dental,shared,0,footer,FOOTER,mega,required,Multi-column with compliance/legal emphasis,
medical-dental,shared,0,navigation,NAV,sticky-transparent,required,Standard dropdown navigation,
nonprofits-social,about,1,page_section,HERO,page-header,required,Company name + tagline,
nonprofits-social,about,2,page_section,ABOUT,editorial-split,required,"Mission, vision, founding story",
